810803.801103,815538.487560,816820.131094,815175.059642,809841.301765,811951.628703
809728.103348,812059.326262,817219.369716,813432.683874,810607.948590,810071.314369
809998.230954,809479.848611,811986.619850,817617.749470,815898.815428,811251.041152
814245.386065,810268.637664,812963.702961,809690.853660,816671.592988,815184.818717
812163.235811,817115.355582,809882.944425,814331.642441,810194.817696,811114.208364
814794.526839,817251.663523,812031.493775,809438.951249,813972.935159,809310.637660
810301.950128,816996.304934,809522.292485,811715.688784,809897.128314,817543.545373
811162.861523,810829.595513,818217.550661,818178.601753,809340.319022,809544.425342
809374.342326,815086.620361,817689.369196,809191.993186,813283.191614,810858.380187
810016.848555,810020.866600,813521.045902,815489.996503,809236.083962,817077.533767
